+,24,94
+,51,75
+,81,91
-,85,10
-,90,58
-,58,10
-,91,34
+,14,67
+,12,64
-,77,42
+,7,91
-,84,15
+,14,83
-,62,43
-,97,57
-,41,10
-,81,57
+,65,92
-,77,50
-,92,50
+,58,83
-,73,9
-,47,21
-,59,13
+,52,67
+,29,75
+,80,90
+,28,64
-,85,25
+,12,81
-,41,10
+,41,59
-,85,38
+,59,87
-,81,65
-,62,39
-,54,13
+,78,96
-,84,1
-,60,39
-,90,9
-,75,13
-,91,43
-,85,16
-,51,13
+,46,94
-,84,10
-,40,16
-,28,9
-,91,16
-,75,63
+,40,59
-,78,14
-,80,64
-,84,64
-,85,15
+,47,92
-,93,25
-,78,29
+,14,92
+,7,50
+,20,49
-,77,29
-,29,15
-,85,58
-,85,9
+,14,70
+,8,50
-,84,59
+,34,49
+,8,63
-,85,16
-,97,47
+,40,89
+,28,81
+,20,69
+,36,63
+,7,64
-,24,1
-,65,10
+,47,81
+,4,42
-,92,14
-,81,63
-,91,69
+,36,90
-,91,41
+,14,50
+,44,57
-,80,70
+,28,87
-,28,10
+,51,81
+,29,87
+,20,96
+,29,67
+,44,90
-,62,42
+,65,95
+,36,50
-,85,9
+,29,65
+,20,81
+,14,50
-,14,1
+,52,75
-,80,10
-,95,47
-,97,34
-,33,14
+,33,63
-,47,14
-,75,1
+,52,91
-,65,9
+,41,57
-,90,34
+,52,83
-,81,15
-,93,50
+,68,81
+,14,27
-,90,64
+,73,94
+,12,43
+,52,83
+,14,59
-,29,9
-,29,13
+,44,96
-,85,29
+,12,63
-,77,10
-,95,65
-,85,49
+,12,67
+,60,75
-,90,14
-,95,1
-,91,57
-,77,49
-,77,42
+,14,43
-,87,13
-,78,25
-,47,29
-,84,25
-,47,15
-,40,10
-,64,34
+,44,65
-,52,38
+,14,50
+,12,59
+,41,59
-,85,57
+,29,83
-,24,9
-,85,64
+,12,94
-,85,47
+,47,81
+,14,41
+,7,42
-,46,29
+,44,58
-,81,13
+,33,89
-,87,5
-,75,10
-,93,77
+,65,89
-,29,5
-,84,21
+,8,41
-,77,28
-,84,10
-,78,57
+,4,50
-,78,15
+,47,77
-,75,65
+,28,83
+,51,81
+,34,94
-,85,57
+,20,81
-,95,34
-,75,43
+,29,65
+,47,65
-,49,23
+,46,81
+,7,65
+,7,64
+,20,75
+,20,75
+,34,58
+,20,42
+,34,64
+,29,77
-,91,29
+,44,67
-,81,64
-,54,9
-,92,70
+,29,57
-,91,53
-,78,41
+,8,42
-,91,69
+,59,95
-,65,13
-,20,10
-,85,64
-,92,1
-,84,41
-,87,71
-,20,9
-,84,5
+,52,83
+,54,83
-,95,73
+,12,42
-,84,39
+,14,95
-,64,23
+,28,63
-,59,47
-,62,21
-,34,1
-,91,63
+,40,71
+,8,95
+,49,59
-,52,1
-,95,1
-,59,14
-,78,59
-,49,9
+,47,64
-,41,9
-,95,64
+,81,96
-,85,27
+,12,38
-,33,10
-,77,43
-,33,23
-,81,64
-,59,13
+,4,69
-,85,27
-,91,10
-,40,1
+,44,59
-,93,50
-,87,41
-,84,59
+,62,89
-,41,14
+,80,94
+,46,94
-,34,21
-,47,13
+,46,92
-,95,14
-,85,64
+,20,89
-,92,71
-,29,1
+,62,81
+,29,67
-,65,47
-,54,34
+,34,91
+,60,90
+,34,92
-,60,5
+,62,87
+,36,92
+,20,38
+,46,65
-,64,50
+,47,57
+,47,94
+,33,92
+,7,50
+,7,38
-,95,77
+,29,53
-,97,59
-,90,64
-,93,70
-,85,50
+,33,90
-,85,14
-,44,9
+,29,50
+,24,38
-,81,67
-,92,69
-,91,27
+,24,65
+,29,50
-,85,29
+,47,57
-,97,53
-,52,29
-,84,13
-,91,70
+,14,25
+,36,96
+,68,83
-,47,29
-,81,10
+,4,91
+,58,75
-,52,5
+,41,95
-,97,63
+,51,94
-,95,53
-,75,14
+,40,87
-,52,29
-,92,47
+,75,94
-,85,69
+,12,92
-,80,50
+,47,91
-,52,14
-,91,59
+,33,69
-,78,65
+,65,81
+,33,73
-,60,29
-,90,14
+,20,50
+,47,59
+,78,90
-,59,1
-,65,14
+,46,70
+,20,64
+,58,95
+,85,96
+,12,53
+,14,59
-,95,29
-,33,5
+,62,75
+,20,58
-,36,10
-,33,13
+,47,95
-,36,23
-,47,5
-,81,27
+,46,73
-,85,57
-,29,13
+,20,83
-,59,41
-,80,21
+,28,89
+,7,67
-,28,16
+,4,81
+,52,90
+,33,59
-,85,28
-,44,5
-,84,69
+,8,59
-,95,43
-,46,10
-,78,49
+,8,90
-,85,59
-,92,29
-,91,77
-,90,64
-,91,1
-,80,1
-,62,13
-,77,13
-,92,41
+,60,70
-,87,29
-,52,38
+,4,63
+,73,83
-,92,13
-,84,10
+,34,57
-,59,27
+,29,81
+,28,57
+,44,75
-,75,64
+,77,89
-,95,14
+,28,91
-,77,14
-,59,28
-,62,34
+,73,92
-,91,73
-,47,25
+,36,91
-,77,59
-,52,10
+,49,81
+,4,59
-,84,49
+,36,81
+,46,65
-,90,47
+,62,73
+,14,64
-,75,25
-,40,10
-,77,23
-,78,14
-,91,58
+,14,83
+,8,69
+,7,94
+,60,83
+,36,50
+,46,75
+,46,57
-,54,41
+,36,83
-,97,49
+,46,81
-,95,14
+,46,95
-,52,14
+,44,64
+,46,64
-,52,42
-,52,13
+,52,69
-,97,14
-,91,59
-,92,28
+,47,95
-,85,41
-,77,63
-,93,14
+,60,81
-,95,23
-,95,25
+,52,71
-,93,47
+,40,75
-,78,49
+,20,92
-,34,1
+,7,77
+,40,83
-,93,39
-,77,15
-,84,14
+,47,91
-,85,75
+,33,64
-,97,25
+,40,90
-,84,67
-,40,25
+,44,77
-,75,23
+,46,64
+,8,29
+,51,83
+,14,64
-,93,10
-,68,38
+,47,81
+,14,64
-,80,25
-,52,34
+,46,59
+,75,96
+,52,64
-,41,28
-,80,9
+,59,90
-,49,38
-,41,29
+,36,89
+,24,77
+,14,64
-,73,14
-,60,47
+,4,94
+,46,83
+,33,71
+,28,96
-,52,15
+,33,81
+,59,73
-,95,71
-,73,13
+,12,77
+,20,91
-,65,53
-,60,10
-,29,10
-,95,29
-,40,15
+,44,63
+,51,70
+,24,73
+,77,87
-,92,21
+,49,77
-,75,64
-,20,1
+,65,91
+,7,25
+,52,89
-,52,21
-,95,83
+,41,83
-,87,27
+,46,57
-,68,29
-,90,75
+,34,75
+,7,57
+,7,63
+,14,83
+,29,59
+,20,34
-,73,25
+,59,94
+,59,70
-,75,59
+,59,81
-,91,47
+,49,67
+,12,47
-,84,67
-,92,81
-,34,10
+,40,50
-,91,64
-,91,29
+,41,64
-,92,63
+,47,90
-,85,50
+,44,83
-,64,14
+,29,50
-,75,34
+,46,90
+,34,75
-,92,49
+,64,91
-,62,14
+,4,16
-,46,1
-,93,81
-,85,63
-,47,23
-,87,59
-,77,64
+,7,69
-,47,23
-,95,29
-,62,43
-,85,14
+,24,39
+,78,92
-,36,15
+,64,81
+,44,58
-,28,15
-,52,15
+,14,49
-,87,14
+,8,34
-,84,50
+,41,69
-,92,42
-,91,47
-,85,50
-,84,14
-,91,39
-,58,15
+,41,96
+,75,89
+,54,64
-,40,13
-,73,41
+,28,42
+,54,81
-,36,5
-,85,50
+,24,71
-,40,28
-,81,50
+,60,81
-,24,14
-,85,59
-,46,9
+,14,57
-,78,64
+,36,65
+,64,83
-,77,25
+,52,87
-,34,13
-,91,64
+,49,70
-,95,49
+,52,94
+,47,81
-,91,9
+,44,73
-,62,23
+,54,75
+,14,73
-,85,13
+,40,73
+,51,65
+,47,59
-,92,75
+,49,63
-,91,63
-,34,14
-,58,5
-,93,15
+,49,81
+,59,81
-,87,65
-,87,58
-,44,10
+,7,23
-,85,53
-,95,63
-,95,57
+,62,83
+,41,73
-,85,34
-,80,50
-,90,29
-,46,10
+,14,87
-,93,69
-,78,53
+,59,95
-,95,83
+,41,64
+,7,50
+,36,95
+,8,57
-,47,15
+,49,75
-,85,10
-,78,59
+,20,57
-,92,53
+,78,94
-,78,10
-,95,42
-,44,16
-,24,13
-,90,25
+,46,71
+,12,25
-,92,29
-,65,25
-,81,23
+,24,81
+,51,71
-,85,59
-,95,10
-,80,57
+,20,53
-,97,77
+,14,73
-,65,5
-,78,14
-,77,5
+,77,87
-,28,5
-,41,15
+,33,94
-,97,23
+,80,92
-,90,39
-,91,65
+,28,64
+,40,95
-,85,38
+,46,77
-,92,50
-,81,29
+,46,83
-,92,27
-,77,13
-,34,13
-,85,13
+,51,64
+,34,64
-,85,57
+,60,83
-,78,10
+,7,21
-,62,1
+,46,64
-,52,16
+,34,59
+,44,83
-,78,43
+,47,96
-,85,10
+,14,27
+,20,50
-,77,50
-,60,50
-,46,27
+,34,70
+,14,89
-,93,14
+,33,49
-,93,64
+,41,63
-,91,81
+,73,89
-,77,27
+,40,65
-,85,43
+,46,64
+,52,83
-,95,75
+,14,25
+,7,83
+,14,42
-,85,73
-,95,69
+,29,42
+,44,77
-,60,1
+,7,41
-,41,1
+,77,94
+,44,73
+,78,89
-,64,39
-,65,29
-,90,41
+,24,64
-,36,9
+,29,77
-,78,9
+,47,83
-,47,27
-,97,71
-,62,9
+,62,75
+,40,83
-,95,13
-,78,10
-,90,50
-,34,10
-,44,29
-,92,59
+,54,81
-,78,29
-,84,64
-,44,28
-,95,59
+,47,83
+,34,64
-,84,65
-,91,58
-,90,21
-,87,15
-,52,10
-,78,58
-,54,10
+,29,92
-,46,5
-,78,29
+,81,94
+,41,65
+,58,91
+,54,71
+,34,59
-,95,64
-,92,39
-,95,13
+,54,96
-,81,50
-,64,49
-,68,10
+,20,95
+,52,81
-,64,42
+,29,41
+,54,83
-,62,25
-,77,64
-,90,1
-,60,21
+,28,50
+,7,57
+,62,83
-,90,43
+,20,50
+,47,64
-,29,16
-,52,23
-,84,63
-,64,1
-,87,21
-,34,16
+,34,83
+,62,96
+,44,59
+,14,94
+,14,64
+,20,57
-,95,59
+,28,73
-,78,13
-,46,15
+,68,81
-,87,70
-,64,28
-,64,15
-,47,29
-,51,9
+,20,39
-,91,16
-,95,81
+,14,39
+,59,83
-,91,71
-,91,5
+,12,57
+,28,58
-,87,63
+,33,67
-,90,50
+,12,89
-,68,16
-,93,49
+,59,83
+,59,77
-,91,34
+,7,73
-,85,14
-,54,43
-,93,10
+,58,89
-,90,53
-,49,27
-,54,29
+,44,64
-,85,67
-,47,10
-,93,13
-,85,64
+,52,94
-,46,15
+,14,63
-,78,65
-,77,29
-,81,42
-,87,1
-,87,57
-,62,38
-,81,1
-,51,21
-,91,67
-,44,27
-,90,73
+,47,75
-,90,71
+,47,57
+,12,96
-,85,53
-,97,41
-,95,67
-,84,43
+,8,50
+,59,70
+,7,28
+,34,50
-,87,25
-,85,63
+,20,64
+,28,70
-,81,16
-,84,16
-,51,14
-,85,59
+,44,59
+,59,83
+,68,95
-,95,15
-,49,13
+,28,50
+,58,70
-,68,50
-,73,63
-,77,14
-,95,21
+,33,58
-,58,47
+,34,50
-,91,14
+,34,77
+,4,90
+,14,90
+,47,87
-,84,41
-,36,14
-,33,9
+,34,81
-,73,38
+,58,90
+,75,95
-,65,13
+,62,91
-,95,13
-,64,38
+,77,91
-,59,5
+,46,71
-,90,63
+,8,67
+,78,95
-,44,34
+,8,23
-,60,25
-,52,25
-,93,21
+,41,83
+,20,69
-,95,57
-,47,27
-,85,42
-,29,10
-,77,67
-,93,16
+,8,39
-,97,38
-,84,38
-,34,16
-,51,29
+,24,70
-,52,14
-,95,23
+,33,96
-,62,50
-,59,13
+,4,96
+,20,39
+,84,95
+,44,96
-,15,30
-,25,40
-,35,50
-,45,60
-,55,70
-,65,80
-,75,90
-,85,100
+,30,15
+,40,25
+,50,35
+,60,45
+,70,55
+,80,65
+,90,75
+,100,85
